runway_id,airport_id,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,he_ident,he_latitude_deg,he_longitude_deg
244486,3517,KEUG,5228,150,ASP,0,1,3,44.11650085,-123.2249985,21,44.12630081,-123.2109985
234555,1924,CYTR,3025,150,ASP,1,0,13,44.11750031,-77.53690338,31,44.11330032,-77.52690125
242494,20776,KOWA,5500,100,CON,1,0,12,44.12760162,-93.26930237,30,44.11920166,-93.25189972
241983,20569,KMTW,3343,100,ASP,1,0,7,44.12919998,-87.68430328,25,44.13230133,-87.67230225
244488,3517,KEUG,6000,150,ASP,1,0,16L,44.13299942,-123.2030029,34R,44.11650085,-123.2020035
241984,20569,KMTW,5002,100,ASP,1,0,17,44.13420105,-87.68379974,35,44.12070084,-87.68049622
244487,3517,KEUG,8009,150,ASP,1,0,16R,44.13539886,-123.2190018,34L,44.11349869,-123.2190018
252048,7579,0U1,2850,135,TURF-G,0,0,2,44.1391983,-115.3180008,20,44.14519882,-115.310997
236011,4090,LFCZ,3412,66,ASP,1,0,8,44.14550018,-1.180879951,26,44.14670181,-1.167999983
236037,4157,LFMO,7909,197,CON,1,0,15,44.14889908,4.85973978,33,44.13130188,4.877359867
234947,1436,CYHS,4000,75,ASP,1,0,1,44.15280151,-81.06279755,19,44.16389847,-81.06279755
234948,1436,CYHS,2500,50,ASP,0,0,9,44.15779877,-81.06749725,27,44.15890121,-81.05809784
242715,3840,KRCA,13497,300,CON,1,0,13,44.15919876,-103.1210022,31,44.13159943,-103.086998
242846,19096,K81B,2997,75,ASP,1,0,15,44.16019821,-70.48560333,33,44.15470123,-70.47699738
252439,21975,ME5,1500,30,GRVL,0,0,10,44.16500092,-68.43090057,28,44.16579819,-68.42539978
239944,25804,WN09,1650,90,GRE,0,0,18,44.16669846,-89.5082016,36,44.16220093,-89.50789642
252621,25216,U41,4600,100,TURF-F,0,0,16,44.16859818,-112.2220001,34,44.15610123,-112.2190018
252962,15378,93B,2099,60,ASPH-G,0,0,7,44.17139816,-68.68340302,25,44.17499924,-68.67710114
235918,4058,LFBA,7103,98,ASP,1,0,11,44.17770004,0.580428004,29,44.17029953,0.605494022
235987,4117,LFIG,3445,66,CON,0,0,10,44.17979813,2.512059927,28,44.17910004,2.525160074
234642,1460,CPU6,3000,150,ASP,0,1,6,44.1814003,-77.11750031,24,44.18690109,-77.10890198
234643,1460,CPU6,4270,150,ASP,1,0,9,44.1814003,-77.11750031,27,44.18389893,-77.10169983
234644,1460,CPU6,2575,150,ASP,0,0,15,44.18719864,-77.11000061,33,44.18190002,-77.103302
235981,2988,LF51,6562,98,ASP,0,0,17,44.18880081,4.914859772,35,44.17169952,4.923079967
240120,18676,K3B5,2151,100,GRS,0,0,11,44.18909836,-70.23729706,29,44.18799973,-70.22920227
240121,18676,K3B5,2104,50,ASP,0,0,12,44.19029999,-70.23619843,30,44.18830109,-70.22869873
240467,23535,OG21,3000,35,ASP,1,0,7,44.19499969,-120.8290024,25,44.19530106,-120.8170013
248316,25574,W23,2990,100,TURF-F,0,0,9,44.19800186,-89.22290039,27,44.19720078,-89.21150208
237025,4357,LIPK,7907,148,ASP,1,0,12,44.19979858,12.05669975,30,44.18970108,12.08339977
234633,1340,CYKM,2087,50,ASP,1,0,5,44.20059967,-81.60310364,23,44.20470047,-81.59780121
248317,25574,W23,1695,100,TURF-F,0,0,18,44.20209885,-89.21710205,36,44.19749832,-89.21730042
